노출상품ID,option_int,옵션명,상품타입,카테고리,아이템위너 비율(%),순 판매 금액(전체 거래 금액 - 취소 금액),순 판매 상품 수(전체 거래 상품 수 - 취소 상품 수),전체 거래 금액,전체 거래 상품 수,총 취소 금액,총 취소 상품 수,즉시 취소 상품 수,reg_date,account
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-04-17,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,99.7%,0,0,0,0,0,0,0,2023-04-17,A00350733
7143935799,85103347463,"써큐시안 블러드케어 3구 선물세트 + 쇼핑백, 1개",로켓그로스,식품,100.0%,319800,2,319800,2,0,0,0,2023-04-17,A00350733
6621868536,85498804254,"판토모나 비오틴 하이퍼포머, 240정, 1박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-04-17,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-04-18,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,100.0%,237960,4,237960,4,0,0,0,2023-04-18,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-04-18,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-04-18,A00350733
7143935799,85103347463,"써큐시안 블러드케어 3구 선물세트 + 쇼핑백, 1개",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-04-18,A00350733
6621868536,85498804254,"판토모나 비오틴 하이퍼포머, 240정, 1박스",로켓그로스,식품,0.4%,59000,1,59000,1,0,0,0,2023-04-18,A00350733
6671890526,84760762381,"페미론큐 이노시톨 플러스 콜린, 50포, 1박스",로켓그로스,식품,100.0%,38990,1,38990,1,0,0,0,2023-04-19,A00350733
6858835566,84761041949,"페미론큐 글루타치온 비타민C 39종 복합성분 850mg, 180정, 1박스",로켓그로스,식품,95.9%,118980,2,118980,2,0,0,0,2023-04-19,A00350733
6621868536,84881967853,"판토모나 비오틴 하이퍼포머, 240정, 3박스",로켓그로스,식품,0.0%,0,0,0,0,0,0,0,2023-04-19,A00350733
6945061176,84921890534,"콘디맥스 황금비 복합 비타민C 1000 아연 셀렌 엽산 비타민씨, 100정",로켓그로스,식품,100.0%,0,0,0,0,0,0,0,2023-04-19,A00350733
7143935799,85103347463,"써큐시안 블러드케어 3구 선물세트 + 쇼핑백, 1개",로켓그로스,식품,100.0%,159900,1,159900,1,0,0,0,2023-04-19,A00350733
6621868536,85498804254,"판토모나 비오틴 하이퍼포머, 240정, 1박스",로켓그로스,식품,15.5%,118000,2,177000,3,59000,1,0,2023-04-19,A00350733
